lose me,loseme,
Don’t stop,dontstop,
DisAppear,disappear,
Two sides,twosides,
歌えばいい,utaebai,
アカイユキ,akaiyuki,
New Treasure,newtreasure,
Run Run Run,runrunrun,
生きてるから,ikiterukara,
つづき,tsuzuki,
春時雨,harushigure,
middle scene,middlescene ,わからなかったことがわかるようになって\nわかってたはずのことがわからなくなってた\nコーヒーが飲めるようになってた\n大人になった気はしてた\n\n時間って不思議なものね\n悲しい時間は長く感じたり\n楽しい時間はあっという間にすぎてゆく\n\nいつのまにかこどもじゃなくなって\nいつのまにかおとなって呼ばれて\n悲しい時に泣けなくなって\n嬉しい時に泣くようになってた\n\n朝まで好きな音楽を聴けるようになって\n1人で遠くまで行けるようになってた\n誰かと喧嘩をすることが無くなった\n言いたいことを言えなくなったから\n\n時の流れはこんなにはやいの\n空を横切る大きな雲みたい\n幸せな時はあっという間にすぎてゆくのね\n\nいつの間にか正解が無くなり\nいつの間にかダメなことが増えて\n大きな夢は小さくなって\n小さな夢だけ叶うようになった\n\nいつのまにかこどもじゃなくなって\nいつのまにかおとなって呼ばれて\n悲しい時に泣けなくなって\n嬉しい時に泣くようになってた
1020,1020,ありがとう 君に ただ伝えたい言葉\n悲しみがいつか強さに変わるのかな\n\n別れの時は突然に 考える時間すらくれないの\n思い出を振り返ることしか許されないのね\n\n桜の花咲く道の真ん中でこのまま君と歩いてたかった\n\nひとりにしないで\nずっとこのままがいい\nひとりにしないで\nあなたがいなきゃだめなの\n\nいつもあなたが眠る場所 残像が胸を締め付ける\n物足りない部屋を見渡して 涙が頬を伝う\n\n感じるはずない温もりがそばにあるから\n君を思い出してしまうの\n\nひとりにしないで\nずっとこのままがいい\nあたりまえの日々が永遠だと思ってた\n\nひとりにしないで\nずっとこのままがいい\nひとりにしないで\nあなたがいなきゃだめなの\n\nありがとう 君に ただ伝えたい言葉\n悲しみがいつか強さに変わるのかな
花火,hanabi,君と一緒に見た花火が\n私の夏の始まり\n花火が打ち上がるまであと5分\n君との距離は縮まらないまま\nうまく繋がらない会話の間に\n冷えたラムネを飲み干す\n君に触れたくて\n空の瓶を左手に持ち替えたこと気づいてほしいよ\n君と一緒に見た花火があたしの夏の始まり\n人混みに押されて触れただけなのに\n高鳴る胸の鼓動\n花火に消されたけど\n花火を見あげる君の横顔ばかり\n見つめてしまうの\n手をつなぎたくて\n君の左手に少し触れてみたこと気づいてくれたかな\n君と一緒に見る花火より\n君のことばかり気にしてしまう\n花火とともに打ち上がるこの思いを見せたいのに\n君と一緒に見た花火があたしの夏の始まり\n最後の花火打ち上げられた時二人の手は\n重なり合ってた\n花火を見上げながら
